ENTERPRISEID,CUSTOMERENTERPRISEID,CLIENTENTERPRISEID,CLIENTLOCATIONENTERPRISEID,SECURITYPROVIDERENTERPRISEID,GUARDQUALIFICATIONENTERPRISEID,SERVICELINECURRENTENTERPRISEID,WORKORDERTERMINATIONREASONENTERPRISEID,NUMBER,FULFILLMENTTYPE,CLASS,CATEGORY,POSITION,BILLINGCODE,STARTDATE,ENDDATE,DATECREATEDUTC,DATEMODIFIEDUTC
F2A7C931-4847-4A55-99C2-BE84C7E5DA5B,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0288306,Psrm-V0007105,Psrm-WOGQ000002,Psrm-SL000008,,L7106.205956,MSP,Revised,Long Term,Unarmed Officer  3,N/A,2023-10-20T09:00:00Z,,2023-07-24T17:57:00-07:00,2023-10-19T18:05:38.754887-07:00
B8C5B853-AD2F-4317-A520-0B3B3C221EA5,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0293946,Psrm-V0006380,Psrm-WOGQ000002,Psrm-SL000008,Psrm-WOTR000005,T6380.199457,MSP,Revised,Temporary,Unarmed Officer 1,N/A,2023-10-20T08:00:00Z,2023-12-30T14:00:00Z,2023-05-03T20:29:00-07:00,2023-10-19T18:05:57.771589-07:00
E6DDEAC7-31E0-4C3D-AC94-BDF78CEF434C,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0288221,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.205409,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:30:00Z,,2023-07-17T17:58:00-07:00,2023-10-19T18:06:18.584713-07:00
93315877-F831-4EF0-8FE7-9B86759B92DA,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0298090,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,T6380.204878,MSP,Revised,Temporary,Armed Officer 1,odsdispatcher@offdutyservices.com,2023-10-20T08:00:00Z,,2023-07-11T06:27:00-07:00,2023-10-19T18:07:23.397467-07:00
0BA74427-B2AD-415F-8900-442364FD056F,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0287854,Psrm-V0006380,Psrm-WOGQ000002,Psrm-SL000008,,T6380.204555,MSP,Revised,Temporary,Off Duty Officer 1,N/A,2023-10-20T08:00:00Z,,2023-07-06T14:18:00-07:00,2023-10-19T18:07:38.938907-07:00
E5297CD1-0D07-49FD-A47D-427B5AF1908F,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0298253,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.204805,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:00:00Z,,2023-07-10T14:16:00-07:00,2023-10-19T18:08:00.664253-07:00
2CB63924-43D5-4E3D-BF2E-8AC91BEAFBA2,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0286724,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,T6380.204592,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:30:00Z,,2023-07-06T18:33:00-07:00,2023-10-19T18:08:21.239856-07:00
C52CCF0F-66A8-4AF5-A6C9-195098068F01,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0288279,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.204593,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:30:00Z,,2023-07-06T18:35:00-07:00,2023-10-19T18:08:38.318847-07:00
007B2011-CD98-4DE6-B352-4A2626322A81,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0298195,Psrm-V0006380,Psrm-WOGQ000002,Psrm-SL000008,,L6380.204449,MSP,Revised,Long Term,Unarmed Officer 1,N/A,2023-10-20T08:00:00Z,,2023-07-05T12:08:00-07:00,2023-10-19T18:08:58.658558-07:00
BAF2BA64-7C61-44FB-BB63-076B88C08D02,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0289359,Psrm-V0006380,Psrm-WOGQ000002,Psrm-SL000008,,L6380.204156,MSP,Revised,Long Term,Unarmed Officer 1,operations@offdutyservices.com,2023-10-20T08:30:00Z,,2023-06-30T15:15:00-07:00,2023-10-19T18:09:16.955089-07:00
ED271465-0994-44C1-97ED-7BA38D3C8D9D,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0287957,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.203691,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:30:00Z,,2023-06-26T14:59:00-07:00,2023-10-19T18:09:36.626627-07:00
08DA7A9E-B1FF-4087-820B-6341E5691349,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0297045,Psrm-V0006380,Psrm-WOGQ000002,Psrm-SL000008,,L6380.199805,MSP,Revised,Long Term,Unarmed Officer 1,N/A,2023-10-20T08:00:00Z,,2023-05-08T14:41:00-07:00,2023-10-19T18:09:53.052035-07:00
0ADA0845-B96A-43CF-9260-F3B702412927,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0298041,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,E6380.203576,MSP,Revised,Emergency,Armed Officer 1,N/A,2023-10-20T08:00:00Z,,2023-06-24T12:50:00-07:00,2023-10-19T18:10:09.812296-07:00
2CD3FE5D-7D38-4300-8F5B-247A9CEB44C5,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0290071,Psrm-V0006380,Psrm-WOGQ000002,Psrm-SL000008,,L6380.202899,MSP,Revised,Long Term,Unarmed Officer 1,N/A,2023-10-20T08:30:00Z,,2023-06-15T18:25:00-07:00,2023-10-19T18:10:26.551621-07:00
E02B06CF-9E62-4FA0-97D4-DC412CD115FD,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0268373,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.202798,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:30:00Z,,2023-06-14T19:33:00-07:00,2023-10-19T18:10:41.283254-07:00
A931DB5D-0B80-4AFF-B592-A906D17D57B9,Psrm-CUS000001,Psrm-C0000270,Psrm-CL0184743,Psrm-V0006933,Psrm-WOGQ000002,Psrm-SL000008,,T6933.203839,MSP,Revised,Temporary,Inside Officer 2,N/A,2023-10-21T15:00:00Z,,2023-06-27T22:57:00-07:00,2023-10-19T18:10:52.183904-07:00
7A8D0BC0-510B-408E-BB40-5C7C36E6BD7D,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0288665,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.202797,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:30:00Z,,2023-06-14T19:30:00-07:00,2023-10-19T18:10:56.032499-07:00
AA65E319-65FF-4384-8F32-EF598B95D911,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0294020,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.202639,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:00:00Z,,2023-06-12T20:59:00-07:00,2023-10-19T18:11:15.607892-07:00
FDF000F9-C8FD-4E00-9F4E-EABA49A51D9C,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0297748,Psrm-V0005662,Psrm-WOGQ000001,Psrm-SL000008,,L5662.202458,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:30:00Z,,2023-06-09T17:54:00-07:00,2023-10-19T18:11:32.148132-07:00
8754A856-C047-4BA6-8806-B7C8463D37A8,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0297747,Psrm-V0005662,Psrm-WOGQ000001,Psrm-SL000008,,L5662.202455,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:30:00Z,,2023-06-09T17:48:00-07:00,2023-10-19T18:11:47.091218-07:00
2617342F-A64F-416D-9A61-4FDDFE59781D,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0275234,Psrm-V0006380,Psrm-WOGQ000002,Psrm-SL000008,,L6380.201194,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T09:00:00Z,,2023-05-25T14:11:00-07:00,2023-10-19T18:12:10.83553-07:00
FD95F908-9629-4563-B9C1-CA531FF6FBF1,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0289433,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.202253,MSP,Revised,Long Term,Armed Officer 1,odsdispatcher@offdutyservices.com,2023-10-20T08:30:00Z,,2023-06-07T12:49:00-07:00,2023-10-19T18:12:29.520355-07:00
8171AE1D-9C0A-43E2-925E-4B28E2B54B77,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0286702,Psrm-V0007298,Psrm-WOGQ000002,Psrm-SL000008,,L7298.202153,MSP,Revised,Long Term,Unarmed Officer 1,N/A,2023-10-20T08:00:00Z,,2023-06-06T13:57:00-07:00,2023-10-19T18:12:59.546027-07:00
95A17F90-FE33-4898-92F7-98A209136526,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0297622,Psrm-V0005596,Psrm-WOGQ000001,Psrm-SL000008,,E5596.201819,MSP,Revised,Emergency,Armed Officer 1,odsdispatcher@offdutyservices.com,2023-10-20T08:30:00Z,2023-12-02T17:30:00Z,2023-06-02T01:00:00-07:00,2023-10-19T18:13:19.27848-07:00
6C35DA65-0D5E-4233-A219-5058D11517B5,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0296268,Psrm-V0006380,Psrm-WOGQ000002,Psrm-SL000008,,E6380.202118,MSP,Revised,Emergency,Unarmed Officer 1,N/A,2023-10-20T08:00:00Z,,2023-06-05T22:35:00-07:00,2023-10-19T18:13:35.405432-07:00
75E35179-BA38-4F74-991C-0C746E28C64E,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0287607,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.201879,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:30:00Z,,2023-06-02T18:05:00-07:00,2023-10-19T18:13:49.780255-07:00
3212C016-123E-4FCC-8929-C8713DA0DADB,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0289633,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,E6380.189931,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:30:00Z,,2023-01-10T19:51:00-08:00,2023-10-19T18:14:06.830981-07:00
9E1130E4-1684-4C6A-B5E2-E894EF08C26C,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0287436,Psrm-V0006380,Psrm-WOGQ000002,Psrm-SL000008,,L6380.201514,MSP,Revised,Long Term,Unarmed Officer 1,N/A,2023-10-20T08:30:00Z,,2023-05-30T18:52:00-07:00,2023-10-19T18:14:23.422418-07:00
B01328D4-9767-4861-A8E3-47FAD03509B0,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0287408,Psrm-V0006380,Psrm-WOGQ000002,Psrm-SL000008,,L6380.201474,MSP,Revised,Long Term,Unarmed Officer 1,N/A,2023-10-20T08:00:00Z,,2023-05-30T14:22:00-07:00,2023-10-19T18:14:39.911152-07:00
632DE275-456C-4847-A7B6-CF53EDFA7E8F,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0289349,Psrm-V0006380,Psrm-WOGQ000002,Psrm-SL000008,,L6380.201473,MSP,Revised,Long Term,Unarmed Officer 1,N/A,2023-10-20T08:00:00Z,,2023-05-30T14:20:00-07:00,2023-10-19T18:14:57.666294-07:00
76E91549-766D-4885-AA22-18BA2D865AAA,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0282537,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.189393,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:00:00Z,,2023-01-04T18:35:00-08:00,2023-10-19T18:15:27.695927-07:00
63677F92-031E-4DE8-B36F-E0AE99A6E450,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0282537,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.197987,MSP,Revised,Long Term,Armed Officer 2,N/A,2023-10-20T08:00:00Z,,2023-04-18T00:50:00-07:00,2023-10-19T18:15:47.471179-07:00
B6ADFB8F-42DB-4566-ABE1-E8BB5BE7E02F,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0297142,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.200326,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:00:00Z,,2023-05-15T13:26:00-07:00,2023-10-19T18:16:03.628908-07:00
DAB295E5-18C5-4164-B047-A14F883963A4,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0286875,Psrm-V0006380,Psrm-WOGQ000002,Psrm-SL000008,,L6380.199809,MSP,Revised,Long Term,Unarmed Officer 1,N/A,2023-10-20T08:00:00Z,,2023-05-08T15:10:00-07:00,2023-10-19T18:16:51.951172-07:00
9AF98A31-530F-466B-BEEE-A5484D86CFFD,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0288359,Psrm-V0006380,Psrm-WOGQ000002,Psrm-SL000008,,L6380.199806,MSP,Revised,Long Term,Unarmed Officer 1,N/A,2023-10-20T09:00:00Z,,2023-05-08T15:02:00-07:00,2023-10-19T18:17:06.677524-07:00
D9445792-FBA9-4767-9B9E-D62989715FC5,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0292831,Psrm-V0006380,Psrm-WOGQ000002,Psrm-SL000008,,L6380.199640,MSP,Revised,Long Term,Unarmed Officer 1,N/A,2023-10-20T08:30:00Z,,2023-05-05T20:40:00-07:00,2023-10-19T18:18:53.285058-07:00
C537C147-4071-43F4-A810-C2292A5E2C0C,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0286336,Psrm-V0006380,Psrm-WOGQ000002,Psrm-SL000008,,E6380.199550,MSP,Revised,Emergency,Unarmed Officer 1,N/A,2023-10-20T08:30:00Z,2023-12-31T17:30:00Z,2023-05-04T20:27:00-07:00,2023-10-19T18:19:09.263176-07:00
5CE486CF-D72F-4004-81B8-61F5788BDF79,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0296523,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,E6380.198336,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:00:00Z,,2023-04-21T12:10:00-07:00,2023-10-19T18:19:27.153471-07:00
2EE7AF7C-F83C-430D-A644-E88C9F780396,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0288055,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,T6380.197844,MSP,Revised,Temporary,Armed Officer 1,N/A,2023-10-20T08:30:00Z,,2023-04-15T05:37:00-07:00,2023-10-19T18:19:43.031248-07:00
A53F6FA2-6C6A-4EFA-94BD-3AF05BB4BE23,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0288676,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.196764,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:00:00Z,,2023-04-03T13:31:00-07:00,2023-10-19T18:20:00.101581-07:00
DD80F90A-6AC4-44FA-93B1-6B34C58013F1,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0285493,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,E6380.184159,MSP,Revised,Emergency,Armed Officer 1,N/A,2023-10-20T08:30:00Z,,2022-11-14T07:03:00-08:00,2023-10-19T18:20:18.752264-07:00
0B2EFBB9-BD86-4CE6-B90A-9F7198AF4715,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0252139,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.195970,MSP,Revised,Long Term,Armed Officer 2,N/A,2023-10-20T08:00:00Z,,2023-03-24T12:20:00-07:00,2023-10-19T18:20:35.64659-07:00
80743F77-A51F-4E26-801F-8086DD7C25E0,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0288654,Psrm-V0006964,Psrm-WOGQ000002,Psrm-SL000008,,T6964.195785,MSP,Revised,Temporary,Inside Officer 1,odsdispatcher@offdutyservices.com,2023-10-20T09:00:00Z,2023-12-30T14:00:00Z,2023-03-22T15:36:00-07:00,2023-10-19T18:20:51.961733-07:00
81757F51-BC4D-40DC-84B2-9854EEAF3DD8,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0289925,Psrm-V0006380,Psrm-WOGQ000002,Psrm-SL000008,,L6380.195672,MSP,Revised,Long Term,Unarmed Officer 1,N/A,2023-10-20T08:30:00Z,,2023-03-21T14:29:00-07:00,2023-10-19T18:21:06.76339-07:00
3E5AA0F5-1568-40CE-B8C5-E465B72ED134,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0292396,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,T6380.189225,MSP,Revised,Temporary,Armed Officer 1,N/A,2023-10-20T08:30:00Z,,2023-01-02T15:44:00-08:00,2023-10-19T18:21:22.342464-07:00
7CBA663D-98D8-4074-BC76-86F954CE3575,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0289998,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,T6380.186848,MSP,Revised,Temporary,Armed Officer 1,N/A,2023-10-20T08:00:00Z,,2022-12-07T13:34:00-08:00,2023-10-19T18:21:38.503865-07:00
55086B7C-9705-4830-8739-D5291358BBD9,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0290193,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,E6380.186029,MSP,Revised,Emergency,Armed Officer 1,N/A,2023-10-20T08:15:00Z,,2022-11-29T03:00:00-08:00,2023-10-19T18:22:11.865251-07:00
6EF67477-7B7D-484C-AF08-86B81BCEFF57,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0285068,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.183599,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:00:00Z,,2022-11-09T15:59:00-08:00,2023-10-19T18:22:46.91594-07:00
F29E254F-5339-4E34-B2DA-A8720277FD01,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0274629,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.183598,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:00:00Z,,2022-11-09T15:44:00-08:00,2023-10-19T18:23:01.90304-07:00
EC8B3B53-1F98-4E14-AF06-A2FE7591C220,Psrm-CUS000001,Psrm-C0000052,Psrm-CL0054685,Psrm-V0006545,Psrm-WOGQ000001,Psrm-SL000008,,L6545.196377,MSP,Revised,Long Term,AUG,N/A,2023-10-20T07:00:00Z,,2023-03-29T15:17:00-07:00,2023-10-19T18:23:32.415043-07:00
E5D902F1-28D2-41A3-8490-EC67DFE447C4,Psrm-CUS000001,Psrm-C0000293,Psrm-CL0297155,Psrm-V0006879,Psrm-WOGQ000002,Psrm-SL000008,,L6879.200594,MSP,Revised,Long Term,UUG 1,N/A,2023-10-20T10:00:00Z,,2023-05-17T21:00:00-07:00,2023-10-19T20:05:19.589311-07:00
FF6C801B-3320-4EDF-98FB-0CCD75619055,Psrm-CUS000001,Psrm-C0000081,Psrm-CL0070313,Psrm-V0000101,Psrm-WOGQ000002,Psrm-SL000008,,L101.79828,MSP,New,Long Term,UUG,N/A,2019-08-02T23:59:00Z,,2019-07-31T14:22:00-07:00,2019-07-31T14:22:00-07:00
BA5BB2DC-2A99-4676-A7EE-151947E04FFB,Psrm-CUS000001,Psrm-C0000183,Psrm-CL0134095,Psrm-V0004853,Psrm-WOGQ000002,Psrm-SL000008,,L4853.70058,MSP,Revised,Long Term,UUG1,808110,2020-06-19T00:00:00Z,,2019-02-28T16:32:00-08:00,2020-06-19T04:24:00-07:00
C7901865-6D00-43B8-AE81-18A1977A6917,Psrm-CUS000001,Psrm-C0000257,Psrm-CL0205003,Psrm-V0005198,Psrm-WOGQ000002,Psrm-SL000008,,L5198.107805,MSP,New,Long Term,Unarmed Officer 1,N/A,2020-08-02T08:00:00Z,,2020-07-31T12:17:00-07:00,2020-07-31T12:17:00-07:00
1D613D64-F7DD-46FF-A4B2-CC960841378C,Psrm-CUS000001,Psrm-C0000067,Psrm-CL0067262,Psrm-V0001387,Psrm-WOGQ000002,Psrm-SL000008,,E1387.49516,MSP,New,Emergency,Testing Holiday 4 Hour Min,AUTOPILOT,2018-01-01T07:00:00Z,,2018-06-19T16:32:00-07:00,2018-06-19T16:32:00-07:00
9DE55932-A4F5-4FC0-A4EF-24B83D5BBB57,Psrm-CUS000001,Psrm-C0000057,Psrm-CL0204968,Psrm-V0005315,Psrm-WOGQ000001,Psrm-SL000008,,L5315.112396,MSP,New,Long Term,1-Aug,N/A,2020-09-27T08:00:00Z,,2020-09-27T02:34:00-07:00,2020-09-27T02:34:00-07:00
86FF559C-22D5-414A-B0EC-5C88B8144DC7,Psrm-CUS000001,Psrm-C0000258,Psrm-CL0197695,Psrm-V0001159,Psrm-WOGQ000002,Psrm-SL000008,,L1159.119161,MSP,New,Long Term,Inside Officer 1,190889523,2020-11-18T14:00:00Z,,2020-11-17T20:49:00-08:00,2020-11-17T20:49:00-08:00
68AC811F-6DF9-44ED-B05B-C66CDF58E3AC,Psrm-CUS000001,Psrm-C0000057,Psrm-CL0110560,Psrm-V0005179,Psrm-WOGQ000001,Psrm-SL000008,,L5179.109772,MSP,Revised,Long Term,1-Aug,N/A,2021-01-14T14:30:00Z,,2020-08-27T14:54:00-07:00,2021-01-14T18:18:00-08:00
35E08A0C-1A66-49E6-A014-4822BAC3856D,Psrm-CUS000001,Psrm-C0000116,Psrm-CL0096319,Psrm-V0004486,Psrm-WOGQ000003,Psrm-SL000007,,L4486.105769,MSP,Revised,Long Term,Marked Vehicle,Natalie Bickel,2021-03-21T00:00:00Z,,2020-07-07T19:31:00-07:00,2022-05-09T19:23:00-07:00
19E321E7-C69F-45D1-AF8A-9B5705DDE5D7,Psrm-CUS000001,Psrm-C0000116,Psrm-CL0096323,Psrm-V0004672,Psrm-WOGQ000002,Psrm-SL000008,,L4672.129955,MSP,Revised,Long Term,UUG3,Jim Craig,2021-04-09T19:00:00Z,,2021-03-24T18:09:00-07:00,2021-04-02T12:32:00-07:00
3AACC58F-267E-4F1E-8709-B71A8D0431E4,Psrm-CUS000001,Psrm-C0000116,Psrm-CL0096323,Psrm-V0004672,Psrm-WOGQ000002,Psrm-SL000008,,L4672.121484,MSP,Revised,Long Term,UUG-1,Natalie Bickel,2021-04-02T19:00:00Z,,2020-12-11T21:15:00-08:00,2021-04-02T12:39:00-07:00
F3908F87-4A8A-4AA3-8606-1FDE37F87263,Psrm-CUS000001,Psrm-C0000116,Psrm-CL0096323,Psrm-V0004672,Psrm-WOGQ000002,Psrm-SL000008,,L4672.111272,MSP,Revised,Long Term,UUG,Natalie Bickel,2021-04-02T19:00:00Z,,2020-09-13T23:08:00-07:00,2021-04-02T12:41:00-07:00
